Darklings Name	FG Name
Almazzat AdvOnInitiative	almazzat_initiative_advantage
Almazzat ADVOnMelee3Rounds	almazzat_melee_attack_advantage
Almazzat LearnMeleeWeaponOrPlusOneMeleeAtk	almazzat_learn_a_weapon_or_attack_bonus
Almazzat Plus2STROrCONOrPlus1MeleeDamage	almazzat_stat_increase_or_damage_bonus
Almazzat TalentChoiceOrTwoStatPoints	almazzat_talent_choice_or_stat_increase
Beastmaster BeastAttackDamageIncreaseOneDie	beastmaster_increased_beast_attack_damage
Beastmaster BeastMasterAnimalType	beastmaster_additional_beast_attack
Beastmaster ExtraBeastShapePerDay	beastmaster_additional_beast_shape
Beastmaster MakeAnimalMagicItem	beastmaster_animal_magic_item
Beastmaster Plus2STROrCONOrPlus1AC	beastmaster_stat_increase_or_improved_ac
Black Lotus ADVonDEXToAvoidEntrapment	black_lotus_dexterity_check_advantage
Black Lotus Invisible	black_lotus_go_undetected
Black Lotus MakeAsleep	black_lotus_put_to_sleep
Black Lotus Morale18	black_lotus_frightening
Black Lotus ParalyseOnWeaponHit	black_lotus_paralyze_target
Black Lotus Plus1ACWhenDualWield	black_lotus_defensive_stance
Black Lotus Plus1ToMeleeDamage	black_lotus_damage_bonus
Black Lotus PlusOneHitDie	black_lotus_extra_hp
Black Lotus TripleDamageAssassinate	black_lotus_improved_assassin
Black Lotus WalkOnWalls	black_lotus_climb_sheer_surfaces
Black Lotus WalkOnWater	black_lotus_walk_on_water
Desert Rider +2 Stat Points	desert_rider_talent_choice_or_stat_increase
Desert Rider ImpCharge	desert_rider_additional_charge
Desert Rider Plus1ToAttacksOrDamage	desert_rider_attack_or_damage_bonus
Desert Rider Plus2STROrDEXOrPlus1MeleeAttacks	desert_rider_stat_increase_or_attack_bonus
Desert Rider UseAnyMount	desert_rider_any_mount
Fiend +2 Stat Points	fiend_talent_choice_or_stat_increase
Fiend GrantSpecialTalent:PyromancyTalent	fiend_pyromancy_talent
Fiend KnowDesires	fiend_know_desires_or_fears
Fiend Plus1ToHit	fiend_improved_attacks
Fiend Plus2STROrDEXOrCON	fiend_stat_increase
Fighter +2 Stat Points	fighter_talent_choice_or_stat_increase
Fighter ArmorMastery	fighter_improved_ac
Fighter Plus1ToHit	fighter_attack_bonus
Fighter StatBonus	fighter_stat_increase
Fighter WeaponMastery	fighter_additional_weapon_mastery
Grave Warden +2 Stat Points	grave_warden_talent_choice_or_stat_increase
Grave Warden AdvOnCastOneSpell	grave_warden_spellcasting_advantage
Grave Warden ImpClaimUndead	grave_warden_improved_claim_undead
